Station  Lat(+N,deg)  Lon(+E,deg)  E Displacement  N Displacement  V Displacement  Sigma E  Sigma N  Sigma U 
PAIT      -4.2877      -56.0364      0.53616045      -6.50400073      -11.37717783      1.07951613      0.89774194      4.13548387
CUIB      -15.5553      -56.0699      -2.98271557      16.91723159      -4.38442138      0.84029032      0.71532258      3.19729032
IMBT      -28.2348      -48.6557      -7.64331565      31.25699263      -3.79162238      0.79129032      0.83558065      3.462
TIL2      -23.5771      -65.3951      -11.6404631      -20.09148005      -4.03000278      0.85474194      0.76696774      3.5376129
QUI3      -0.1396      -78.4673      4.94688104      -43.30180503      -3.48276866      0.75293548      0.66522581      2.77522581
PWIL      -54.9322      -67.6304      -22.57959161      -29.10135145      4.82376307      0.66227586      0.96737931      2.82527586
UFPR      -25.4484      -49.231      -2.66740917      16.85709639      1.67661973      0.77241935      0.80196774      3.54622581
UYPT      -32.8006      -56.5098      7.08103443      -33.18092574      -4.65449259      0.81612903      0.92996774      3.64464516
GGUA      -33.151      -59.3138      5.26380017      -40.95289533      -8.72016064      0.70003226      0.80206452      2.9653871
QUI4      -0.1396      -78.4673      4.09201367      -43.82989993      -2.21979706      0.75909677      0.66393548      2.77758065
SCTC      -21.9482      -66.0504      3.30489342      7.51249366      -0.85584862      0.94625806      0.86212903      4.11893548
FALK      -51.6937      -57.8741      -0.2162436      -0.00077822      1.83337282      0.71212903      1.01116129      3.16545161
PRMA      -23.4097      -51.9384      -0.06229448      7.2793946      -2.6780588      1.13203226      0.95422581      4.98935484
LTAC      -18.0507      -70.2773      -9.52073483      -10.25647212      5.60175572      1.579375      1.4225625      6.3511875
UYCL      -32.3657      -54.214      7.56989301      -35.05533879      -3.40299197      0.80283871      0.90129032      3.54777419
CN40      12.18      -68.958      -17.62503621      -17.58555972      -1.38094972      0.85577419      0.71558065      3.44141935
SUAR      -37.4585      -61.9313      1.37969389      -13.10974806      -4.96693302      0.90954839      1.09219355      4.40090323
CSQM      -23.4255      -66.3866      4.7354678      8.37525396      -4.39679351      0.84709677      0.83041935      3.72306452
POVE      -8.7093      -63.8963      -1.92930931      13.5356601      -15.08546345      0.77125806      0.67503226      2.92919355
IAC1      -18.4797      -70.3329      -26.69199794      -26.65859637      0.99517111      0.78251613      0.7336129      3.21122581
UYDU      -33.3159      -55.6024      9.01283982      -20.34898921      -6.07803762      0.77333333      0.904      3.38848148
MSNV      -23.022      -54.1921      12.08095102      -49.85757275      -11.32801618      0.72303226      0.71580645      3.00277419
MTV1      -34.9136      -56.1763      8.53653081      -38.65876777      -2.83851294      0.71554839      0.84487097      3.1006129
SCLA      -27.7928      -50.3043      -1.56052667      7.14234253      -2.21758605      0.73519355      0.75493548      3.05251613
PVCA      -30.2675      -71.6232      18.26515783      -54.68935825      -6.8700916      0.73448387      0.79348387      3.11854839
ASEC      -0.4973      -78.1704      4.20087794      0.20192949      -4.05135872      0.83970968      0.73758065      3.31006452
CN19      12.6118      -70.0485      -31.63157413      -29.06736744      1.08684707      0.80490323      0.67354839      3.04022581
SPC1      -22.8163      -47.0627      3.33245881      -14.76270714      0.47505636      0.8196129      0.77493548      3.51045161
DORE      -36.3151      -57.681      6.02657661      -27.99943399      -4.75734883      0.70033333      0.84026667      2.9131
